a monkey in an park by Mary killed my park in I by a cat in Bob,"[['PETS', 0.06240536], ['TRAVEL', 0.0557702], ['SPORTS', 0.05190105], ['HEALTH AND FITNESS', 0.05095862], ['HOBBIES AND INTERESTS', 0.05074085]]","[['PETS', 1.0], ['TRAVEL', 3.96648e-09], ['HOBBIES AND INTERESTS', 9.68484e-10], ['SPORTS', 3.34159e-10], ['HEALTH AND FITNESS', 9.25039e-11]]",False,1,0,13:04:03.437012
the dog in I ate an monkey in a fish,"[['PETS', 0.06357602], ['FOOD AND DRINK', 0.05564879], ['SPORTS', 0.05296324], ['HOBBIES AND INTERESTS', 0.04974033], ['AUTOMOTIVE', 0.04895007]]","[['PETS', 0.999995], ['SCIENCE', 3.39445e-06], ['FOOD AND DRINK', 5.02643e-07], ['SPORTS', 4.90533e-07], ['HOBBIES AND INTERESTS', 3.73139e-09]]",False,2,0,13:04:06.119789
Mary walked John with an pajamas outside an man in I,"[['RELIGION AND SPIRITUALITY', 0.05538009], ['SPORTS', 0.05537644], ['ARTS AND ENTERTAINMENT', 0.0536714], ['HEALTH AND FITNESS', 0.05315265], ['EDUCATION', 0.05047388]]","[['SOCIETY', 0.9999], ['SCIENCE', 9.41608e-05], ['FOOD AND DRINK', 8.08928e-07], ['TRAVEL', 4.53167e-07], ['HOBBIES AND INTERESTS', 3.34247e-07]]",True,3,1,13:04:08.225718
Mary saw Bob,"[['HEALTH AND FITNESS', 0.05189616], ['BUSINESS', 0.05168675], ['SPORTS', 0.05155729], ['ARTS AND ENTERTAINMENT', 0.05146835], ['HOBBIES AND INTERESTS', 0.04964161]]","[['HOBBIES AND INTERESTS', 0.165744], ['CAREERS', 0.103779], ['HEALTH AND FITNESS', 0.061078], ['SPORTS', 0.0502132], ['EDUCATION', 0.0408336]]",False,4,1,13:04:10.784508
Bob killed the pajamas on Mary,"[['BUSINESS', 0.05100571], ['HEALTH AND FITNESS', 0.04997426], ['LAW GOVERNMENT AND POLITICS', 0.04976367], ['STYLE AND FASHION', 0.04954921], ['RELIGION AND SPIRITUALITY', 0.04905482]]","[['EDUCATION', 0.784445], ['SCIENCE', 0.215261], ['FOOD AND DRINK', 0.000294121], ['SPORTS', 8.29108e-08], ['CAREERS', 2.16281e-08]]",True,5,2,13:04:13.186096
Bob ate the elephant outside Mary by John,"[['SPORTS', 0.05537638], ['HEALTH AND FITNESS', 0.05248762], ['BUSINESS', 0.05238744], ['ARTS AND ENTERTAINMENT', 0.05222574], ['EDUCATION', 0.05125695]]","[['HEALTH AND FITNESS', 0.606371], ['ARTS AND ENTERTAINMENT', 0.0927022], ['SPORTS', 0.0618979], ['HOBBIES AND INTERESTS', 0.0352766], ['FOOD AND DRINK', 0.0350341]]",False,6,2,13:04:15.827267
an pajamas walked a cat outside I,"[['PETS', 0.06216466], ['SPORTS', 0.05164742], ['TECHNOLOGY AND COMPUTING', 0.05160465], ['RELIGION AND SPIRITUALITY', 0.05019984], ['TRAVEL', 0.04871205]]","[['PETS', 1.0], ['SCIENCE', 3.22372e-08], ['SPORTS', 4.01459e-09], ['HOBBIES AND INTERESTS', 1.73815e-09], ['FOOD AND DRINK', 9.3458e-10]]",True,7,3,13:04:18.837256
John walked Mary by the pajamas by I,"[['ARTS AND ENTERTAINMENT', 0.05259991], ['SPORTS', 0.05118834], ['RELIGION AND SPIRITUALITY', 0.05032513], ['EDUCATION', 0.04976266], ['TECHNOLOGY AND COMPUTING', 0.04968956]]","[['SCIENCE', 0.881047], ['FOOD AND DRINK', 0.118019], ['SPORTS', 0.000864778], ['RELIGION AND SPIRITUALITY', 1.5406e-05], ['CAREERS', 5.23959e-06]]",True,8,4,13:04:21.557897
an cat killed Mary in a man by I,"[['PETS', 0.05762309], ['SCIENCE', 0.05323292], ['HOBBIES AND INTERESTS', 0.05198542], ['RELIGION AND SPIRITUALITY', 0.05076298], ['TECHNOLOGY AND COMPUTING', 0.05059368]]","[['PETS', 0.999817], ['RELIGION AND SPIRITUALITY', 4.42371e-05], ['HEALTH AND FITNESS', 2.42156e-05], ['HOBBIES AND INTERESTS', 2.29048e-05], ['ARTS AND ENTERTAINMENT', 1.1659e-05]]",False,9,4,13:04:24.329335
Mary killed the telescope outside Mary,"[['RELIGION AND SPIRITUALITY', 0.05611019], ['SCIENCE', 0.05505591], ['BUSINESS', 0.05127341], ['HEALTH AND FITNESS', 0.04963512], ['REAL ESTATE', 0.04950503]]","[['SCIENCE', 0.956078], ['HOBBIES AND INTERESTS', 0.00778655], ['STYLE AND FASHION', 0.000659751], ['RELIGION AND SPIRITUALITY', 0.000508508], ['TRAVEL', 0.000490743]]",True,10,5,13:04:26.948724
