an pajamas captured the snake in Marcus,"['NEUTRAL', 0.57795199]","['NEUTRAL', 0.0]",False,1,0,23:10:07.011786
province snake captured a camera on camera in Marcus province,"['NEUTRAL', 0.58460542]","['NEUTRAL', -0.10000000149011612]",False,2,0,23:10:09.384394
the hill made Marcus by my province outside Dylan,"['POSITIVE', 0.4775232]","['NEUTRAL', 0.0]",True,3,1,23:10:11.713154
my camera in Marcus captured I by Dylan,"['NEUTRAL', 0.46519276]","['NEUTRAL', 0.0]",False,4,1,23:10:12.914509
I captured a hill on Holly Holly Marcus Marcus Holly,"['NEUTRAL', 0.51626617]","['NEUTRAL', 0.0]",False,5,1,23:10:15.186201
a man Holly I started Marcus by a the pajamas Holly,"['NEUTRAL', 0.53287179]","['NEUTRAL', 0.0]",False,6,1,23:10:16.504346
Dylan conflicted the bus by Holly,"['NEGATIVE', 0.49625529]","['NEUTRAL', -0.20000000298023224]",True,7,2,23:10:18.798712
Holly captured Dylan,"['NEUTRAL', 0.61907826]","['NEUTRAL', 0.0]",False,8,2,23:10:20.987291
bus hill captured an snake,"['NEUTRAL', 0.6459869]","['NEUTRAL', 0.0]",False,9,2,23:10:22.267581
Holly captured Holly,"['NEUTRAL', 0.58390782]","['POSITIVE', 0.30000001192092896]",True,10,3,23:10:23.852713
Holly Holly Holly on an hill,"['NEUTRAL', 0.54412594]","['NEUTRAL', 0.0]",False,11,3,23:10:26.167081
the province with Dylan conflicted Dylan outside Holly on I by the camera by I,"['NEGATIVE', 0.57939304]","['NEGATIVE', -0.4000000059604645]",False,12,3,23:10:28.526247
I conflicted Holly on I on my forest,"['NEGATIVE', 0.57555042]","['NEGATIVE', -0.30000001192092896]",False,13,3,23:10:30.680695
Dylan conflicted I in man with Holly hill outside Holly,"['NEGATIVE', 0.55635692]","['NEGATIVE', -0.30000001192092896]",False,14,3,23:10:33.128009
Dylan started Dylan,"['NEUTRAL', 0.60517624]","['NEUTRAL', 0.0]",False,15,3,23:10:35.351118
snake on outside Holly in by Holly Marcus an forest on my forest pajamas with a hill on Dylan hill province in I started the snake cat in Holly hill Dylan I a forest by Marcus,"['NEUTRAL', 0.63416527]","['NEUTRAL', -0.20000000298023224]",False,16,3,23:10:37.658806
my bus on Marcus Holly Holly on Dylan with the pajamas on I,"['NEUTRAL', 0.47498121]","['NEUTRAL', 0.0]",False,17,3,23:10:39.988307
Holly started an forest,"['NEUTRAL', 0.63990427]","['POSITIVE', 0.30000001192092896]",True,18,4,23:10:42.344258
Dylan captured pajamas in an man on an hill bus,"['NEUTRAL', 0.66083081]","['NEUTRAL', -0.20000000298023224]",False,19,4,23:10:43.872884
forest province Dylan hill camera with Dylan in I,"['NEUTRAL', 0.63391784]","['NEUTRAL', 0.0]",False,20,4,23:10:46.029995
Marcus captured Holly with pajamas bus,"['NEUTRAL', 0.53778356]","['NEUTRAL', 0.10000000149011612]",False,21,4,23:10:47.306209
an hill in Holly Marcus Marcus in Dylan,"['NEUTRAL', 0.53000318]","['NEUTRAL', 0.0]",False,22,4,23:10:48.692133
Dylan started my snake Dylan Marcus by Holly,"['NEUTRAL', 0.556059]","['NEUTRAL', 0.0]",False,23,4,23:10:50.861490
my cat made Marcus,"['POSITIVE', 0.45891521]","['NEUTRAL', 0.0]",True,24,5,23:10:53.205206
Holly studied the snake,"['NEUTRAL', 0.55010291]","['NEUTRAL', 0.10000000149011612]",False,25,5,23:10:55.537757
a pajamas captured Marcus Holly Dylan by province I Dylan province in an camera,"['NEUTRAL', 0.53013383]","['NEUTRAL', 0.0]",False,26,5,23:10:57.799501
bus hill a forest by I Holly,"['NEUTRAL', 0.61999126]","['NEUTRAL', 0.10000000149011612]",False,27,5,23:10:59.201620
Dylan my hill Marcus on Dylan,"['NEUTRAL', 0.48849226]","['NEUTRAL', 0.0]",False,28,5,23:11:00.458937
Dylan conflicted my forest in Holly on Dylan,"['NEGATIVE', 0.47573829]","['NEGATIVE', -0.30000001192092896]",False,29,5,23:11:02.623920
Holly captured I in Dylan,"['NEUTRAL', 0.60412663]","['NEUTRAL', 0.0]",False,30,5,23:11:04.845774
Dylan made Holly,"['POSITIVE', 0.45335963]","['NEUTRAL', 0.0]",True,31,6,23:11:06.207677
the forest studied the province outside I in Dylan,"['NEUTRAL', 0.61364247]","['NEUTRAL', 0.0]",False,32,6,23:11:08.540137
I an bus I in the man outside I,"['NEUTRAL', 0.56976752]","['NEUTRAL', 0.10000000149011612]",False,33,6,23:11:10.763908
hill province in bus on an snake cat conflicted a snake by my camera my province a man,"['NEGATIVE', 0.62271489]","['NEGATIVE', -0.6000000238418579]",False,34,6,23:11:12.957261
Holly studied the in Marcus by pajamas Dylan I forest in a pajamas,"['NEUTRAL', 0.53201485]","['NEUTRAL', 0.0]",False,35,6,23:11:15.213354
Marcus I Marcus outside Holly in Dylan,"['NEUTRAL', 0.4963229]","['NEUTRAL', 0.0]",False,36,6,23:11:17.671521
an province started a forest,"['NEUTRAL', 0.68246089]","['NEUTRAL', 0.20000000298023224]",False,37,6,23:11:19.309523
I embarked an province outside Dylan outside a hill,"['NEUTRAL', 0.58115247]","['NEUTRAL', 0.0]",False,38,6,23:11:21.049793
an camera province in camera Holly Holly forest outside Holly province outside Marcus I made I,"['POSITIVE', 0.41245026]","['NEUTRAL', 0.0]",True,39,7,23:11:22.635569
Marcus studied Holly,"['NEUTRAL', 0.45377436]","['NEUTRAL', 0.0]",False,40,7,23:11:24.947467
Dylan embarked Dylan,"['NEUTRAL', 0.59180615]","['NEUTRAL', 0.0]",False,41,7,23:11:27.097922
Holly conflicted man camera on my pajamas outside Holly on I,"['NEGATIVE', 0.69778027]","['NEGATIVE', -0.5]",False,42,7,23:11:29.250513
bus cat conflicted Holly by Marcus,"['NEGATIVE', 0.53074275]","['NEUTRAL', -0.10000000149011612]",True,43,8,23:11:31.526163
Marcus made Dylan,"['POSITIVE', 0.51856499]","['NEUTRAL', 0.0]",True,44,9,23:11:33.743795
I conflicted bus hill in Holly,"['NEGATIVE', 0.59195178]","['NEGATIVE', -0.30000001192092896]",False,45,9,23:11:36.006546
man camera captured Dylan Marcus a province my pajamas by Holly a province,"['NEUTRAL', 0.54234021]","['NEUTRAL', 0.0]",False,46,9,23:11:37.434648
a man Holly Holly cat in I forest an forest by Marcus,"['NEUTRAL', 0.64562836]","['NEUTRAL', 0.10000000149011612]",False,47,9,23:11:39.740035
I made Marcus,"['POSITIVE', 0.46633636]","['NEUTRAL', 0.0]",True,48,10,23:11:41.324093
I started Holly,"['NEUTRAL', 0.54963856]","['NEUTRAL', 0.0]",False,49,10,23:11:42.753359
Holly conflicted my forest in Dylan,"['NEGATIVE', 0.47573829]","['NEGATIVE', -0.30000001192092896]",False,50,10,23:11:45.126723
Marcus started Marcus,"['NEUTRAL', 0.5259862]","['NEUTRAL', 0.0]",False,51,10,23:11:47.430712
Dylan studied the province,"['NEUTRAL', 0.58137877]","['NEUTRAL', 0.0]",False,52,10,23:11:48.847569
Holly made a cat outside camera by Holly bus on I in forest I I pajamas,"['NEGATIVE', 0.41619851]","['NEUTRAL', 0.20000000298023224]",True,53,11,23:11:50.085534
the province Dylan province Marcus Dylan in Marcus,"['NEUTRAL', 0.58464085]","['NEUTRAL', 0.0]",False,54,11,23:11:52.265564
Dylan the snake the cat in an snake by Dylan,"['NEUTRAL', 0.67269301]","['NEUTRAL', 0.0]",False,55,11,23:11:54.464697
a camera conflicted my hill Marcus my camera on camera snake with Holly,"['NEGATIVE', 0.56920992]","['NEGATIVE', -0.6000000238418579]",False,56,11,23:11:56.903472
a province embarked Dylan by bus province on Marcus,"['NEUTRAL', 0.6034817]","['NEUTRAL', 0.0]",False,57,11,23:11:58.281786
Marcus embarked I in hill with Marcus snake with Marcus,"['NEUTRAL', 0.54015]","['NEUTRAL', 0.0]",False,58,11,23:12:00.555479
I conflicted an bus,"['NEGATIVE', 0.57926553]","['NEGATIVE', -0.6000000238418579]",False,59,11,23:12:01.994548
Marcus Dylan an province by Dylan by my bus outside I,"['NEUTRAL', 0.51037715]","['NEUTRAL', 0.0]",False,60,11,23:12:03.560176
Dylan an Marcus I by Dylan I outside my bus by a man snake outside Dylan I on Dylan in a camera,"['NEUTRAL', 0.51265699]","['NEUTRAL', 0.0]",False,61,11,23:12:05.111749
Marcus embarked Marcus outside bus Marcus Holly hill with the camera by Marcus,"['NEUTRAL', 0.43358727]","['NEUTRAL', 0.0]",False,62,11,23:12:07.349655
forest with a with Dylan in the hill by Marcus hill conflicted an snake on Dylan Marcus I,"['POSITIVE', 0.44615969]","['NEGATIVE', -0.4000000059604645]",True,63,12,23:12:09.612089
an cat embarked my forest on man I snake man with Marcus Marcus Dylan,"['NEUTRAL', 0.68434047]","['NEUTRAL', 0.0]",False,64,12,23:12:11.948108
an forest embarked I Holly Marcus with Marcus,"['NEUTRAL', 0.56734966]","['NEUTRAL', 0.0]",False,65,12,23:12:13.495670
Dylan made Dylan with man hill,"['POSITIVE', 0.43324978]","['NEUTRAL', 0.0]",True,66,13,23:12:14.998241
an bus in camera forest outside Marcus I I outside a cat,"['NEUTRAL', 0.54387401]","['NEUTRAL', 0.0]",False,67,13,23:12:16.295329
