the gibbon grabbed the river inside Gemma,"[['TRAVEL', 0.05669696], ['SPORTS', 0.05319879], ['AUTOMOTIVE', 0.04896522], ['BUSINESS', 0.0488349], ['ARTS AND ENTERTAINMENT', 0.04874461]]","[['SPORTS', 0.688684], ['TRAVEL', 0.0156158], ['SCIENCE', 0.0105648], ['EDUCATION', 0.00780438], ['FOOD AND DRINK', 0.00532829]]",False,1,0,15:22:56.963028
I apprehended Nick in the park by Gary,"[['TRAVEL', 0.05632385], ['SPORTS', 0.05543992], ['ARTS AND ENTERTAINMENT', 0.05103398], ['HEALTH AND FITNESS', 0.05064138], ['FOOD AND DRINK', 0.0495979]]","[['NON STANDARD CONTENT', 0.999552], ['TRAVEL', 0.000402025], ['SPORTS', 1.79144e-05], ['REAL ESTATE', 2.65369e-06], ['HOBBIES AND INTERESTS', 1.75819e-06]]",False,2,0,15:22:59.541037
my salmon chased an gibbon,"[['AUTOMOTIVE', 0.05081251], ['PETS', 0.04968927], ['TECHNOLOGY AND COMPUTING', 0.04942116], ['HOME AND GARDEN', 0.04911946], ['FAMILY AND PARENTING', 0.04911752]]","[['SPORTS', 0.937138], ['SCIENCE', 0.0181067], ['HOME AND GARDEN', 0.00529567], ['FOOD AND DRINK', 0.000289654], ['AUTOMOTIVE', 8.39585e-05]]",False,3,0,15:23:02.495965
the park chased I in Gemma,"[['TRAVEL', 0.05572662], ['SPORTS', 0.05210165], ['HOBBIES AND INTERESTS', 0.05030337], ['ARTS AND ENTERTAINMENT', 0.04958781], ['FOOD AND DRINK', 0.0494047]]","[['TRAVEL', 1.0], ['HOBBIES AND INTERESTS', 6.46208e-10], ['ARTS AND ENTERTAINMENT', 4.66986e-10], ['SOCIETY', 2.91921e-11], ['HOME AND GARDEN', 2.54329e-11]]",False,4,0,15:23:05.310119
a owl by an river saw I,"[['HOBBIES AND INTERESTS', 0.05670148], ['SPORTS', 0.05542885], ['TRAVEL', 0.05394391], ['ARTS AND ENTERTAINMENT', 0.04974548], ['AUTOMOTIVE', 0.04955591]]","[['SPORTS', 0.927004], ['PETS', 0.0666114], ['TRAVEL', 0.00255502], ['HOBBIES AND INTERESTS', 0.000936514], ['RELIGION AND SPIRITUALITY', 0.00026838]]",False,5,0,15:23:08.635184
Nick chased Nick,"[['SCIENCE', 0.05082258], ['ARTS AND ENTERTAINMENT', 0.05027925], ['FAMILY AND PARENTING', 0.0487665], ['FOOD AND DRINK', 0.04806357], ['EDUCATION', 0.04802046]]","[['HOBBIES AND INTERESTS', 0.385865], ['TECHNOLOGY AND COMPUTING', 0.285317], ['HEALTH AND FITNESS', 0.0397475], ['EDUCATION', 0.0365236], ['ARTS AND ENTERTAINMENT', 0.0314806]]",False,6,0,15:23:11.456565
Gary damaged my park outside Gemma,"[['TRAVEL', 0.0599992], ['HEALTH AND FITNESS', 0.0561008], ['SPORTS', 0.05199678], ['RELIGION AND SPIRITUALITY', 0.05029171], ['AUTOMOTIVE', 0.04972256]]","[['TRAVEL', 1.0], ['HOME AND GARDEN', 1.55232e-10], ['SPORTS', 1.02946e-10], ['SOCIETY', 9.23945e-11], ['RELIGION AND SPIRITUALITY', 6.06474e-11]]",False,7,0,15:23:14.784724
Gary spent Gary,"[['BUSINESS', 0.05031409], ['TRAVEL', 0.05014278], ['SPORTS', 0.0491662], ['HEALTH AND FITNESS', 0.04890011], ['LAW GOVERNMENT AND POLITICS', 0.04861859]]","[['SPORTS', 0.652978], ['EDUCATION', 0.0274373], ['RELIGION AND SPIRITUALITY', 0.0186902], ['FOOD AND DRINK', 0.0135374], ['HOBBIES AND INTERESTS', 0.0134556]]",True,8,1,15:23:18.206536
Gemma disabled Nick inside a river,"[['HEALTH AND FITNESS', 0.05809564], ['TRAVEL', 0.05594751], ['SPORTS', 0.05210557], ['ARTS AND ENTERTAINMENT', 0.05036904], ['SCIENCE', 0.04919958]]","[['FAMILY AND PARENTING', 0.823045], ['SPORTS', 0.0701234], ['BUSINESS', 0.0241034], ['TECHNOLOGY AND COMPUTING', 0.00902332], ['REAL ESTATE', 0.00600512]]",True,9,2,15:23:21.230944
Gemma disabled Gemma in the salmon,"[['HEALTH AND FITNESS', 0.05832966], ['TECHNOLOGY AND COMPUTING', 0.04894211], ['FOOD AND DRINK', 0.04877317], ['PETS', 0.04838609], ['LAW GOVERNMENT AND POLITICS', 0.04817808]]","[['SPORTS', 1.0], ['FAMILY AND PARENTING', 5.60872e-08], ['HEALTH AND FITNESS', 2.21026e-08], ['HOBBIES AND INTERESTS', 3.67843e-09], ['SOCIETY', 6.18104e-10]]",True,10,3,15:23:24.348315
Gary spent an gibbon by I with I by I,"[['SPORTS', 0.05375042], ['TECHNOLOGY AND COMPUTING', 0.05103449], ['HOBBIES AND INTERESTS', 0.05065163], ['TRAVEL', 0.05047461], ['HOME AND GARDEN', 0.04970456]]","[['HOBBIES AND INTERESTS', 0.999665], ['RELIGION AND SPIRITUALITY', 0.000276246], ['SPORTS', 1.16499e-05], ['HEALTH AND FITNESS', 6.50579e-06], ['EDUCATION', 1.58107e-06]]",False,11,3,15:23:28.813746
an owl outside I chased I outside I,"[['RELIGION AND SPIRITUALITY', 0.05281415], ['SPORTS', 0.05206695], ['TRAVEL', 0.05142784], ['TECHNOLOGY AND COMPUTING', 0.05081654], ['FOOD AND DRINK', 0.04984956]]","[['RELIGION AND SPIRITUALITY', 0.660887], ['TRAVEL', 0.339108], ['PETS', 2.66301e-06], ['HOBBIES AND INTERESTS', 8.51523e-07], ['SCIENCE', 1.04556e-07]]",False,12,3,15:23:31.984042
Nick grabbed Nick,"[['SCIENCE', 0.05076555], ['ARTS AND ENTERTAINMENT', 0.04931927], ['FAMILY AND PARENTING', 0.04869814], ['EDUCATION', 0.04847224], ['HEALTH AND FITNESS', 0.04840909]]","[['SOCIETY', 1.0], ['SPORTS', 1.19876e-08], ['RELIGION AND SPIRITUALITY', 3.48301e-10], ['HOBBIES AND INTERESTS', 8.3302e-11], ['TECHNOLOGY AND COMPUTING', 6.0916e-11]]",True,13,4,15:23:35.362879
Gary disabled my gibbon,"[['HEALTH AND FITNESS', 0.06725956], ['PETS', 0.0500699], ['AUTOMOTIVE', 0.04891662], ['TRAVEL', 0.04842125], ['HOBBIES AND INTERESTS', 0.04811007]]","[['FAMILY AND PARENTING', 0.999007], ['SPORTS', 0.000547822], ['LAW AND GOVERNMENT AND POLITICS', 3.91678e-05], ['TECHNOLOGY AND COMPUTING', 3.50726e-05], ['HEALTH AND FITNESS', 3.04325e-05]]",True,14,5,15:23:38.742025
Nick damaged the salmon in Nick by Gary near Gary,"[['SCIENCE', 0.05247699], ['HEALTH AND FITNESS', 0.04958265], ['SOCIETY', 0.04946065], ['ARTS AND ENTERTAINMENT', 0.04866336], ['TRAVEL', 0.0486624]]","[['SPORTS', 1.0], ['HOBBIES AND INTERESTS', 3.64305e-10], ['HOME AND GARDEN', 6.18248e-11], ['TECHNOLOGY AND COMPUTING', 4.98708e-11], ['AUTOMOTIVE', 1.91603e-11]]",True,15,6,15:23:41.505418
Nick chased Gemma by Gary,"[['ARTS AND ENTERTAINMENT', 0.05129229], ['SCIENCE', 0.05034751], ['HEALTH AND FITNESS', 0.05024379], ['FAMILY AND PARENTING', 0.04921169], ['SPORTS', 0.04908569]]","[['SPORTS', 0.789489], ['TECHNOLOGY AND COMPUTING', 0.0462984], ['HOME AND GARDEN', 0.0190604], ['FAMILY AND PARENTING', 0.0152853], ['FOOD AND DRINK', 0.0109352]]",False,16,6,15:23:44.210730
an lemur inside I saw I,"[['AUTOMOTIVE', 0.0563279], ['SPORTS', 0.05480463], ['HOBBIES AND INTERESTS', 0.05275297], ['SCIENCE', 0.05063209], ['ARTS AND ENTERTAINMENT', 0.0504859]]","[['PETS', 0.977187], ['SPORTS', 0.00810561], ['HOBBIES AND INTERESTS', 0.00314172], ['ARTS AND ENTERTAINMENT', 0.00197523], ['STYLE AND FASHION', 0.00181133]]",False,17,6,15:23:47.085358
an baboon on I damaged my gibbon near Gary near the baboon with Gary by a baboon with Gary near Gary with the elephant with I,"[['HOBBIES AND INTERESTS', 0.0543111], ['TRAVEL', 0.0541015], ['HEALTH AND FITNESS', 0.05278471], ['TECHNOLOGY AND COMPUTING', 0.05121129], ['HOME AND GARDEN', 0.05038406]]","[['HOBBIES AND INTERESTS', 0.856549], ['EDUCATION', 0.120442], ['SPORTS', 0.00208163], ['PETS', 0.000682576], ['RELIGION AND SPIRITUALITY', 0.000410269]]",True,18,7,15:23:50.128421
Gemma saw Gemma on Gary by I on I,"[['SPORTS', 0.05610718], ['HOBBIES AND INTERESTS', 0.05532203], ['HEALTH AND FITNESS', 0.05049147], ['ARTS AND ENTERTAINMENT', 0.05014152], ['TECHNOLOGY AND COMPUTING', 0.0490513]]","[['HOBBIES AND INTERESTS', 0.291153], ['SOCIETY', 0.155594], ['HEALTH AND FITNESS', 0.0778797], ['SPORTS', 0.0180119], ['LAW AND GOVERNMENT AND POLITICS', 0.016728]]",False,19,7,15:23:53.531635
I apprehended Nick in Gary,"[['SPORTS', 0.05294313], ['ARTS AND ENTERTAINMENT', 0.05113642], ['SCIENCE', 0.05059665], ['HOBBIES AND INTERESTS', 0.04979698], ['FOOD AND DRINK', 0.04939586]]","[['NON STANDARD CONTENT', 1.0], ['RELIGION AND SPIRITUALITY', 2.33062e-10], ['SPORTS', 1.06575e-10], ['REAL ESTATE', 8.95477e-11], ['HEALTH AND FITNESS', 5.46244e-11]]",True,20,8,15:23:56.312036
I apprehended Nick near Nick with Gemma,"[['SCIENCE', 0.0528745], ['ARTS AND ENTERTAINMENT', 0.05109921], ['TRAVEL', 0.05059091], ['HOBBIES AND INTERESTS', 0.05018061], ['HOME AND GARDEN', 0.04964688]]","[['HOME AND GARDEN', 0.757887], ['NON STANDARD CONTENT', 0.242112], ['RELIGION AND SPIRITUALITY', 2.02025e-07], ['SPORTS', 8.9335e-08], ['STYLE AND FASHION', 6.66494e-08]]",True,21,9,15:23:59.224660
Gary spent an salmon,"[['SPORTS', 0.05025091], ['BUSINESS', 0.05020551], ['TRAVEL', 0.04944676], ['HOME AND GARDEN', 0.04921778], ['TECHNOLOGY AND COMPUTING', 0.04917661]]","[['SPORTS', 0.999049], ['BUSINESS', 0.000241998], ['HEALTH AND FITNESS', 0.000112299], ['REAL ESTATE', 8.41079e-05], ['FOOD AND DRINK', 2.53157e-05]]",False,22,9,15:24:02.074389
