James meant Irene,"[['RELIGION AND SPIRITUALITY', 0.0516024], ['ARTS AND ENTERTAINMENT', 0.05132777], ['HOME AND GARDEN', 0.05089213], ['EDUCATION', 0.05018056], ['SOCIETY', 0.04990644]]","[['SOCIETY', 0.998539], ['SCIENCE', 0.001317], ['HEALTH AND FITNESS', 3.70979e-05], ['RELIGION AND SPIRITUALITY', 1.89789e-05], ['PERSONAL FINANCE', 1.34411e-05]]",True,1,1,22:15:03.902717
an telescope fought Irene I Stephen,"[['SCIENCE', 0.05377805], ['TECHNOLOGY AND COMPUTING', 0.05102379], ['SPORTS', 0.05005665], ['HEALTH AND FITNESS', 0.04990431], ['FOOD AND DRINK', 0.04889598]]","[['SCIENCE', 0.976193], ['SPORTS', 0.00489007], ['STYLE AND FASHION', 0.00315586], ['RELIGION AND SPIRITUALITY', 0.00211073], ['HOBBIES AND INTERESTS', 0.00177542]]",True,2,2,22:15:06.988091
on I telescope by Stephen heard a tree outside Stephen,"[['BUSINESS', 0.05794175], ['RELIGION AND SPIRITUALITY', 0.05318823], ['HEALTH AND FITNESS', 0.05287068], ['TRAVEL', 0.05268622], ['SCIENCE', 0.05039724]]","[['RELIGION AND SPIRITUALITY', 0.533514], ['SPORTS', 0.403375], ['HOBBIES AND INTERESTS', 0.0185064], ['SCIENCE', 0.0117944], ['NON STANDARD CONTENT', 0.0058201]]",True,3,3,22:15:09.720333
Stephen heard I with I,"[['HEALTH AND FITNESS', 0.05142408], ['TECHNOLOGY AND COMPUTING', 0.05111357], ['SPORTS', 0.05048067], ['HOBBIES AND INTERESTS', 0.05005556], ['TRAVEL', 0.04922281]]","[['HOBBIES AND INTERESTS', 0.999899], ['RELIGION AND SPIRITUALITY', 8.23678e-05], ['PETS', 6.01683e-06], ['HEALTH AND FITNESS', 8.8122e-07], ['NON STANDARD CONTENT', 8.14132e-07]]",True,4,4,22:15:12.390710
Stephen fought James outside Irene with James James Stephen outside I ship my cat,"[['PETS', 0.06679055], ['RELIGION AND SPIRITUALITY', 0.05533021], ['TRAVEL', 0.05466607], ['HOBBIES AND INTERESTS', 0.05303], ['TECHNOLOGY AND COMPUTING', 0.0499804]]","[['SPORTS', 0.57105], ['PETS', 0.283783], ['RELIGION AND SPIRITUALITY', 0.131244], ['HOBBIES AND INTERESTS', 0.00689075], ['NON STANDARD CONTENT', 0.00150268]]",False,5,4,22:15:15.556492
Irene built Stephen by Irene on monkey monkey in Irene,"[['TRAVEL', 0.05137421], ['TECHNOLOGY AND COMPUTING', 0.05083335], ['AUTOMOTIVE', 0.04971732], ['FAMILY AND PARENTING', 0.04961395], ['HOME AND GARDEN', 0.04938259]]","[['HEALTH AND FITNESS', 0.997887], ['SCIENCE', 0.00210474], ['EDUCATION', 7.53026e-06], ['AUTOMOTIVE', 2.11914e-07], ['TRAVEL', 1.46929e-08]]",True,6,5,22:15:18.221304
Stephen James an tree Irene my country,"[['BUSINESS', 0.05547074], ['RELIGION AND SPIRITUALITY', 0.0550039], ['TRAVEL', 0.05488496], ['EDUCATION', 0.05264681], ['AUTOMOTIVE', 0.05228865]]","[['HOBBIES AND INTERESTS', 0.611854], ['RELIGION AND SPIRITUALITY', 0.155125], ['CAREERS', 0.0950676], ['NON STANDARD CONTENT', 0.0196251], ['TRAVEL', 0.0156615]]",True,7,6,22:15:20.598975
my ship with pajamas James Irene I I James country by I country on my man on a mountain,"[['SPORTS', 0.06154003], ['TRAVEL', 0.06110074], ['HOBBIES AND INTERESTS', 0.05679694], ['EDUCATION', 0.05476839], ['RELIGION AND SPIRITUALITY', 0.05368497]]","[['TRAVEL', 0.492407], ['SPORTS', 0.381267], ['FOOD AND DRINK', 0.0927468], ['SCIENCE', 0.0147637], ['EDUCATION', 0.00433988]]",False,8,6,22:15:23.543890
I Stephen country outside Irene tree in an pajamas with an with man outside an man mountain my ship outside Irene Irene outside Irene,"[['TRAVEL', 0.06706218], ['SPORTS', 0.05957739], ['BUSINESS', 0.05777494], ['RELIGION AND SPIRITUALITY', 0.05639267], ['EDUCATION', 0.05288737]]","[['TRAVEL', 0.965902], ['RELIGION AND SPIRITUALITY', 0.0134351], ['SCIENCE', 0.00501463], ['SPORTS', 0.00322143], ['HOBBIES AND INTERESTS', 0.00167364]]",False,9,6,22:15:26.115464
an man by my pajamas by Irene began cat in I outside Stephen,"[['PETS', 0.06214121], ['HEALTH AND FITNESS', 0.05952696], ['RELIGION AND SPIRITUALITY', 0.05108733], ['TRAVEL', 0.05053001], ['TECHNOLOGY AND COMPUTING', 0.04991516]]","[['HEALTH AND FITNESS', 0.827475], ['PETS', 0.172514], ['SCIENCE', 8.25196e-06], ['NON STANDARD CONTENT', 2.59659e-06], ['ARTS AND ENTERTAINMENT', 2.30198e-07]]",True,10,7,22:15:29.078459
