the elephant shot an dog outside Bob on my park on I,"[['TRAVEL', 0.06736928], ['SPORTS', 0.06279086], ['PETS', 0.05602838], ['HEALTH AND FITNESS', 0.05079782], ['AUTOMOTIVE', 0.04978658]]","[['DOGS', 0.46], ['PETS', 0.38]]",False,1,0,00:04:13.058024
I ate I with I with an man in John,"[['SPORTS', 0.05695982], ['ARTS AND ENTERTAINMENT', 0.05360734], ['EDUCATION', 0.05161346], ['HOBBIES AND INTERESTS', 0.05088826], ['LAW GOVERNMENT AND POLITICS', 0.049197]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.11]]",True,2,1,00:04:14.588357
an pajamas by Bob saw Mary by the pajamas,"[['HEALTH AND FITNESS', 0.05300701], ['SPORTS', 0.05177497], ['BUSINESS', 0.05126081], ['ARTS AND ENTERTAINMENT', 0.0506551], ['HOBBIES AND INTERESTS', 0.04957093]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.05]]",True,3,2,00:04:16.239737
an man ate an man,"[['HEALTH AND FITNESS', 0.05066372], ['ARTS AND ENTERTAINMENT', 0.05020856], ['SCIENCE', 0.04991129], ['SPORTS', 0.04980601], ['EDUCATION', 0.04971218]]","[['PROFANE CONTENT', 0.26], ['NON-STANDARD CONTENT', 0.13]]",True,4,3,00:04:17.955933
my pajamas in Bob wounded my fish,"[['PETS', 0.06010039], ['SPORTS', 0.05750695], ['FOOD AND DRINK', 0.04988271], ['RELIGION AND SPIRITUALITY', 0.04886111], ['HEALTH AND FITNESS', 0.04878576]]","[['AQUARIUMS', 0.57], ['PETS', 0.18]]",False,5,3,00:04:19.504465
my elephant ate my pajamas by Bob,"[['HEALTH AND FITNESS', 0.05288828], ['SPORTS', 0.05155284], ['TRAVEL', 0.05055301], ['PETS', 0.04994966], ['STYLE AND FASHION', 0.04975311]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,6,4,00:04:21.022823
an elephant on Bob killed John,"[['LAW GOVERNMENT AND POLITICS', 0.05333435], ['SPORTS', 0.05202924], ['BUSINESS', 0.05056516], ['ARTS AND ENTERTAINMENT', 0.049928], ['EDUCATION', 0.04978013]]","[['LARGE ANIMALS', 0.49], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HINDUISM', 0.14], ['HOBBIES & INTERESTS', 0.07], ['PETS', 0.07]]",True,7,5,00:04:22.577314
John killed John with Mary,"[['RELIGION AND SPIRITUALITY', 0.05330891], ['LAW GOVERNMENT AND POLITICS', 0.05292519], ['EDUCATION', 0.05101477], ['BUSINESS', 0.05003891], ['ARTS AND ENTERTAINMENT', 0.04939208]]","[['CATHOLICISM', 0.28], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.18], ['RELIGION & SPIRITUALITY', 0.08], ['NON-STANDARD CONTENT', 0.08]]",True,8,6,00:04:23.995747
Bob ate Bob outside my man,"[['SPORTS', 0.05610949], ['HEALTH AND FITNESS', 0.05597247], ['TRAVEL', 0.05270831], ['ARTS AND ENTERTAINMENT', 0.0504728], ['RELIGION AND SPIRITUALITY', 0.04954254]]","[['PROFANE CONTENT', 0.2], ['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['COLLECTING', 0.05]]",True,9,7,00:04:25.563228
my dog in John wounded Bob outside my telescope with a elephant in John,"[['PETS', 0.06394151], ['EDUCATION', 0.0519698], ['ARTS AND ENTERTAINMENT', 0.05028329], ['SPORTS', 0.05025183], ['TRAVEL', 0.05005447]]","[['DOGS', 0.34], ['PETS', 0.21]]",False,10,7,00:04:27.314004
