John wounded my man outside Bob by a monkey outside Mary,"[['SPORTS', 0.809895], ['FAMILY AND PARENTING', 0.1901], ['NON STANDARD CONTENT', 1.91586e-06], ['TRAVEL', 4.94023e-07], ['HOBBIES AND INTERESTS', 2.51953e-07]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NEEDLEWORK', 0.06]]",True,1,1,17:15:23.794194
John wounded my man by Bob by a monkey outside Mary,"[['SPORTS', 0.72529], ['FAMILY AND PARENTING', 0.274693], ['ARTS AND ENTERTAINMENT', 8.18002e-06], ['NON STANDARD CONTENT', 1.96833e-06], ['HOBBIES AND INTERESTS', 1.17327e-06]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NEEDLEWORK', 0.06]]",True,2,2,17:15:27.166273
John wounded my man by Bob by a monkey outside Bob,"[['SPORTS', 0.838716], ['FAMILY AND PARENTING', 0.161256], ['ARTS AND ENTERTAINMENT', 1.48234e-05], ['NON STANDARD CONTENT', 2.08634e-06], ['HOBBIES AND INTERESTS', 1.08723e-06]]","[['PROFANE CONTENT', 0.19], ['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['SCREENWRITING', 0.05]]",True,3,3,17:15:30.803735
John wounded my man by Mary by a monkey outside Bob,"[['SPORTS', 0.725288], ['FAMILY AND PARENTING', 0.274694], ['HOBBIES AND INTERESTS', 7.10372e-06], ['TRAVEL', 2.96122e-06], ['NON STANDARD CONTENT', 1.96836e-06]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NEEDLEWORK', 0.06]]",True,4,4,17:15:34.281533
John saw my man by Mary by a monkey outside Bob,"[['FAMILY AND PARENTING', 0.562302], ['SPORTS', 0.437682], ['SOCIETY', 6.42629e-06], ['HOBBIES AND INTERESTS', 3.16519e-06], ['TRAVEL', 5.35311e-07]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.08], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,5,5,17:15:38.067042
John wounded my man by Mary by a monkey outside Bob,"[['SPORTS', 0.725288], ['FAMILY AND PARENTING', 0.274694], ['HOBBIES AND INTERESTS', 7.10372e-06], ['TRAVEL', 2.96122e-06], ['NON STANDARD CONTENT', 1.96836e-06]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['SPORTS', 0.06], ['NEEDLEWORK', 0.06]]",True,5,5,17:15:41.898920
John wounded my man by Mary by a monkey outside Mary,"[['SPORTS', 0.550433], ['FAMILY AND PARENTING', 0.449493], ['HOBBIES AND INTERESTS', 2.14028e-05], ['NON STANDARD CONTENT', 2.07321e-05], ['TRAVEL', 8.20024e-06]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,6,6,17:15:45.469722
John wounded my man by Mary by a monkey by Mary,"[['SPORTS', 0.99802], ['HOBBIES AND INTERESTS', 0.000711113], ['TRAVEL', 0.000353973], ['NON STANDARD CONTENT', 0.000177747], ['TECHNOLOGY AND COMPUTING', 6.4903e-05]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,7,7,17:15:49.014813
John wounded my man on Mary by a monkey by Mary,"[['SPORTS', 0.917682], ['EDUCATION', 0.0820698], ['TRAVEL', 0.000118657], ['NON STANDARD CONTENT', 4.70205e-05], ['HOBBIES AND INTERESTS', 6.07061e-06]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,8,8,17:15:52.389423
Mary wounded my man on Mary by a monkey by Mary,"[['SPORTS', 0.824168], ['EDUCATION', 0.17512], ['TRAVEL', 0.000229812], ['NON STANDARD CONTENT', 0.000146237], ['CAREERS', 2.44623e-05]]","[['CATHOLICISM', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,9,9,17:15:55.625772
Mary wounded my man on Mary by a cat by Mary,"[['PETS', 0.99999], ['SPORTS', 9.11903e-06], ['EDUCATION', 5.96997e-07], ['HOBBIES AND INTERESTS', 1.10043e-09], ['TRAVEL', 7.51521e-10]]","[['CATS', 0.38], ['PETS', 0.08]]",False,10,9,17:15:58.825179
Mary wounded my man on Mary by a monkey with Mary,"[['SPORTS', 0.842017], ['EDUCATION', 0.15681], ['TRAVEL', 0.000426574], ['STYLE AND FASHION', 0.000403909], ['NON STANDARD CONTENT', 8.86977e-05]]","[['CATHOLICISM', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,11,10,17:16:02.298476
Mary wounded my man on Mary by the monkey with Mary,"[['SPORTS', 0.815713], ['EDUCATION', 0.183205], ['TRAVEL', 0.000535796], ['STYLE AND FASHION', 0.000129312], ['HOBBIES AND INTERESTS', 6.99072e-05]]","[['CATHOLICISM', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,12,11,17:16:06.032775
Mary wounded my man with Mary by the monkey with Mary,"[['SPORTS', 0.990288], ['STYLE AND FASHION', 0.00459314], ['TRAVEL', 0.00109362], ['HOBBIES AND INTERESTS', 0.000715137], ['SOCIETY', 0.000556222]]","[['CATHOLICISM', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,13,12,17:16:09.444127
Mary wounded my man with Mary by the monkey on Mary,"[['FAMILY AND PARENTING', 0.646115], ['SPORTS', 0.28879], ['EDUCATION', 0.0648784], ['RELIGION AND SPIRITUALITY', 2.14143e-05], ['SOCIETY', 1.88043e-05]]","[['CATHOLICISM', 0.21], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NON-STANDARD CONTENT', 0.06]]",True,14,13,17:16:13.071407
