Mary shot the monkey,"[['SPORTS', 0.05368717], ['BUSINESS', 0.05108073], ['TECHNOLOGY AND COMPUTING', 0.05020219], ['HEALTH AND FITNESS', 0.04998364], ['TRAVEL', 0.04879317]]","[['HOBBIES & INTERESTS', 0.08], ['NEEDLEWORK', 0.06]]",True,1,1,11:29:40.816212
Bob saw an monkey outside Bob,"[['SPORTS', 0.0565406], ['BUSINESS', 0.0541407], ['HEALTH AND FITNESS', 0.05153519], ['TRAVEL', 0.04971217], ['ARTS AND ENTERTAINMENT', 0.04823017]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['BIRDWATCHING', 0.05], ['BODYBUILDING', 0.04]]",True,2,2,11:29:42.358461
my pajamas saw I outside John,"[['SPORTS', 0.05355116], ['RELIGION AND SPIRITUALITY', 0.05310964], ['HOBBIES AND INTERESTS', 0.05302812], ['HEALTH AND FITNESS', 0.05281584], ['AUTOMOTIVE', 0.05206966]]","[['HATE CONTENT', 0.18], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07], ['SCREENWRITING', 0.06]]",True,3,3,11:29:43.922754
John saw a park outside a fish in an park,"[['SPORTS', 0.05985308], ['TRAVEL', 0.05413685], ['PETS', 0.05325182], ['RELIGION AND SPIRITUALITY', 0.05270418], ['EDUCATION', 0.05107889]]","[['AQUARIUMS', 0.6], ['PETS', 0.3]]",False,4,3,11:29:45.440319
an park shot Mary,"[['TRAVEL', 0.05611361], ['SPORTS', 0.05535583], ['HEALTH AND FITNESS', 0.05157523], ['BUSINESS', 0.04980623], ['REAL ESTATE', 0.04872853]]","[['NATIONAL PARKS', 0.51], ['TRAVEL', 0.12]]",False,5,3,11:29:46.945832
an man walked my dog in I,"[['PETS', 0.05792099], ['AUTOMOTIVE', 0.05485772], ['HOBBIES AND INTERESTS', 0.0529888], ['ARTS AND ENTERTAINMENT', 0.05229048], ['TRAVEL', 0.05107835]]","[['DOGS', 0.73], ['PETS', 0.45]]",False,6,3,11:29:48.525371
an elephant by my man killed Mary on Mary with an dog,"[['PETS', 0.05530134], ['RELIGION AND SPIRITUALITY', 0.05284432], ['TRAVEL', 0.05226001], ['HOBBIES AND INTERESTS', 0.05135349], ['EDUCATION', 0.05130521]]","[['DOGS', 0.37], ['PETS', 0.25]]",False,7,3,11:29:50.022988
John shot I on my dog on Mary,"[['PETS', 0.05896406], ['ARTS AND ENTERTAINMENT', 0.05121914], ['SPORTS', 0.05117273], ['EDUCATION', 0.05014715], ['HOBBIES AND INTERESTS', 0.0501364]]","[['DOGS', 0.59], ['PETS', 0.36]]",False,8,3,11:29:51.567163
John walked Bob by John on my fish,"[['PETS', 0.06015162], ['SPORTS', 0.05832576], ['ARTS AND ENTERTAINMENT', 0.05197662], ['RELIGION AND SPIRITUALITY', 0.05030427], ['FOOD AND DRINK', 0.04887237]]","[['AQUARIUMS', 0.55], ['PETS', 0.16]]",False,9,3,11:29:53.076146
the telescope wounded an monkey with Bob,"[['SPORTS', 0.05373872], ['SCIENCE', 0.05260639], ['BUSINESS', 0.05062119], ['FAMILY AND PARENTING', 0.04898555], ['STYLE AND FASHION', 0.0489753]]","[['HOBBIES & INTERESTS', 0.08], ['BIRDWATCHING', 0.05]]",True,10,4,11:29:54.652507
I saw I,"[['HOBBIES AND INTERESTS', 0.05416852], ['AUTOMOTIVE', 0.05336685], ['SPORTS', 0.05177754], ['SCIENCE', 0.0507544], ['EDUCATION', 0.04913618]]","[['HOBBIES & INTERESTS', 0.07], ['BIRDWATCHING', 0.05]]",True,11,5,11:29:56.173201
Bob saw Bob outside John,"[['SPORTS', 0.05755056], ['BUSINESS', 0.05341659], ['ARTS AND ENTERTAINMENT', 0.05237755], ['HEALTH AND FITNESS', 0.05181472], ['EDUCATION', 0.05060798]]","[['HOBBIES & INTERESTS', 0.09], ['SPORTS', 0.07], ['SCREENWRITING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,12,6,11:29:57.675228
Bob ate my elephant in Mary,"[['HEALTH AND FITNESS', 0.05345557], ['STYLE AND FASHION', 0.05048802], ['PETS', 0.04991053], ['SPORTS', 0.04954468], ['ARTS AND ENTERTAINMENT', 0.04907189]]","[['HOBBIES & INTERESTS', 0.08], ['NEEDLEWORK', 0.06]]",True,13,7,11:29:59.912646
an elephant by I wounded an cat on Bob outside the cat in Bob with the monkey,"[['PETS', 0.06168366], ['SPORTS', 0.05852459], ['TRAVEL', 0.05042582], ['TECHNOLOGY AND COMPUTING', 0.05018763], ['HEALTH AND FITNESS', 0.04879421]]","[['CATS', 0.61], ['PETS', 0.2]]",False,14,7,11:30:01.706079
Mary wounded John in a cat in I by Bob,"[['PETS', 0.06294683], ['SPORTS', 0.05518678], ['ARTS AND ENTERTAINMENT', 0.05453981], ['TECHNOLOGY AND COMPUTING', 0.0489964], ['HOBBIES AND INTERESTS', 0.04893091]]","[['CATS', 0.54], ['PETS', 0.12]]",False,15,7,11:30:03.237540
Bob walked an cat with Bob on a dog in I,"[['PETS', 0.07600741], ['ARTS AND ENTERTAINMENT', 0.05309637], ['HOBBIES AND INTERESTS', 0.0502168], ['SPORTS', 0.04981058], ['TECHNOLOGY AND COMPUTING', 0.04927952]]","[['PETS', 0.39], ['CATS', 0.37]]",False,16,7,11:30:05.425973
John walked John,"[['ARTS AND ENTERTAINMENT', 0.05139062], ['LAW GOVERNMENT AND POLITICS', 0.05050803], ['EDUCATION', 0.04975701], ['PERSONAL FINANCE', 0.04965789], ['SPORTS', 0.0496155]]","[['HATE CONTENT', 0.18], ['NON-STANDARD CONTENT', 0.08], ['HOBBIES & INTERESTS', 0.07], ['SCREENWRITING', 0.06]]",True,17,8,11:30:07.228120
Mary saw Mary in my fish,"[['PETS', 0.05691333], ['RELIGION AND SPIRITUALITY', 0.05151374], ['HOBBIES AND INTERESTS', 0.05081541], ['HEALTH AND FITNESS', 0.05024261], ['AUTOMOTIVE', 0.04984017]]","[['AQUARIUMS', 0.56], ['PETS', 0.17]]",False,18,8,11:30:08.875016
an dog with John shot Bob by I,"[['SPORTS', 0.06114503], ['PETS', 0.05575273], ['ARTS AND ENTERTAINMENT', 0.05425386], ['LAW GOVERNMENT AND POLITICS', 0.04951191], ['BUSINESS', 0.04872603]]","[['DOGS', 0.59], ['PETS', 0.36]]",False,19,8,11:30:10.612023
Bob killed an fish,"[['PETS', 0.05726604], ['SPORTS', 0.05541632], ['RELIGION AND SPIRITUALITY', 0.05105372], ['FOOD AND DRINK', 0.05055388], ['LAW GOVERNMENT AND POLITICS', 0.04932275]]","[['AQUARIUMS', 0.7], ['PETS', 0.31]]",False,20,8,11:30:12.720787
Bob ate Mary by the dog by my fish with I with my telescope in I,"[['PETS', 0.07058029], ['SPORTS', 0.05310998], ['FOOD AND DRINK', 0.05296424], ['ARTS AND ENTERTAINMENT', 0.05057975], ['SCIENCE', 0.0491369]]","[['AQUARIUMS', 0.47], ['PETS', 0.44]]",False,21,8,11:30:14.310301
John ate I with Mary,"[['ARTS AND ENTERTAINMENT', 0.05235667], ['SPORTS', 0.05117029], ['EDUCATION', 0.05081081], ['FOOD AND DRINK', 0.05064893], ['TECHNOLOGY AND COMPUTING', 0.04967121]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['BARBECUES & GRILLING', 0.1], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['FOOD & DRINK', 0.06]]",True,22,9,11:30:16.034775
