James built Stephen by a ship in an man with Stephen by an cat with an tree with James outside Irene,"[['BUSINESS', 0.05951761], ['TRAVEL', 0.05936389], ['PETS', 0.05618074], ['RELIGION AND SPIRITUALITY', 0.05533681], ['HOBBIES AND INTERESTS', 0.05352503]]","[['CATS', 0.31], ['PETS', 0.09]]",True,1,1,22:57:28.682978
James meant Stephen by a ship in an man with Stephen by an cat with an tree with James outside Irene,"[['PETS', 0.05905277], ['BUSINESS', 0.05763375], ['RELIGION AND SPIRITUALITY', 0.05652061], ['TRAVEL', 0.055399], ['HOBBIES AND INTERESTS', 0.05305531]]","[['CATS', 0.3], ['PETS', 0.09]]",True,2,2,22:57:31.917060
James meant Stephen by a ship in an man with Stephen outside an cat with an tree with James outside Irene,"[['PETS', 0.05905277], ['BUSINESS', 0.05763375], ['RELIGION AND SPIRITUALITY', 0.05652061], ['TRAVEL', 0.055399], ['HOBBIES AND INTERESTS', 0.05305531]]","[['CATS', 0.3], ['PETS', 0.09]]",True,3,3,22:57:35.728386
James heard Stephen by a ship in an man with Stephen outside an cat with an tree with James outside Irene,"[['BUSINESS', 0.06012158], ['TRAVEL', 0.05755706], ['PETS', 0.05704213], ['RELIGION AND SPIRITUALITY', 0.05674742], ['HOBBIES AND INTERESTS', 0.05203359]]","[['CATS', 0.31], ['PETS', 0.09]]",True,4,4,22:57:38.815339
James heard Stephen by a ship in an man with Stephen outside an cat with the tree with James outside Irene,"[['BUSINESS', 0.06012158], ['TRAVEL', 0.05755706], ['PETS', 0.05704213], ['RELIGION AND SPIRITUALITY', 0.05674742], ['HOBBIES AND INTERESTS', 0.05203359]]","[['CATS', 0.31], ['PETS', 0.09]]",True,5,5,22:57:41.866909
James heard Stephen by a ship in an man with Stephen outside an cat with the tree by James outside Irene,"[['BUSINESS', 0.06012158], ['TRAVEL', 0.05755706], ['PETS', 0.05704213], ['RELIGION AND SPIRITUALITY', 0.05674742], ['HOBBIES AND INTERESTS', 0.05203359]]","[['CATS', 0.31], ['PETS', 0.09]]",True,6,6,22:57:44.855054
James heard Stephen by a ship outside an man with Stephen outside an cat with the tree by James outside Irene,"[['BUSINESS', 0.06012158], ['TRAVEL', 0.05755706], ['PETS', 0.05704213], ['RELIGION AND SPIRITUALITY', 0.05674742], ['HOBBIES AND INTERESTS', 0.05203359]]","[['CATS', 0.31], ['PETS', 0.09]]",True,7,7,22:57:48.033438
James heard Stephen by a ship outside an man with Stephen outside an cat on the tree by James outside Irene,"[['BUSINESS', 0.06012158], ['TRAVEL', 0.05755706], ['PETS', 0.05704213], ['RELIGION AND SPIRITUALITY', 0.05674742], ['HOBBIES AND INTERESTS', 0.05203359]]","[['CATS', 0.31], ['PETS', 0.09]]",True,8,8,22:57:50.800601
James heard Stephen by a ship outside an man with Stephen outside an cat with the tree by James outside Irene,"[['BUSINESS', 0.06012158], ['TRAVEL', 0.05755706], ['PETS', 0.05704213], ['RELIGION AND SPIRITUALITY', 0.05674742], ['HOBBIES AND INTERESTS', 0.05203359]]","[['CATS', 0.31], ['PETS', 0.09]]",True,8,8,22:57:53.588695
James heard Stephen by a ship outside an man with Stephen outside an cat with the cat by James outside Irene,"[['PETS', 0.06059253], ['TRAVEL', 0.05610749], ['RELIGION AND SPIRITUALITY', 0.05417054], ['SCIENCE', 0.05240993], ['HEALTH AND FITNESS', 0.05149296]]","[['CATS', 0.55], ['PETS', 0.15]]",True,9,9,22:57:56.429237
