James began Irene James I,"['POSITIVE', 0.35396976]","['NEUTRAL', 0.10000000149011612]",True,1,1,22:33:02.605174
Stephen caught man Stephen country outside James outside Stephen cat in telescope pajamas outside my ship outside Stephen Irene Stephen,"['NEGATIVE', 0.38594597]","['NEUTRAL', 0.0]",True,2,2,22:33:04.994272
James meant country tree by James by James,"['NEUTRAL', 0.5172375]","['NEUTRAL', 0.0]",False,3,2,22:33:06.629008
a monkey with Irene meant with Irene outside an cat in Irene tree,"['NEUTRAL', 0.62496553]","['POSITIVE', 0.30000001192092896]",True,4,3,22:33:08.807436
Stephen fought I outside Stephen outside I,"['NEUTRAL', 0.51402705]","['NEUTRAL', 0.0]",False,5,3,22:33:10.961119
I built a man with Stephen outside I my outside I outside Irene Irene by I,"['NEUTRAL', 0.57310811]","['POSITIVE', 0.30000001192092896]",True,6,4,22:33:13.350772
I caught Stephen,"['NEUTRAL', 0.38596107]","['NEUTRAL', 0.20000000298023224]",False,7,4,22:33:15.912411
an monkey meant I by I,"['NEUTRAL', 0.55756151]","['NEUTRAL', 0.20000000298023224]",False,8,4,22:33:17.356584
I caught an telescope with an man,"['NEUTRAL', 0.43571039]","['NEUTRAL', 0.10000000149011612]",False,9,4,22:33:19.697509
James meant tree on I cat,"['NEUTRAL', 0.48469311]","['NEUTRAL', 0.10000000149011612]",False,10,4,22:33:22.077185
Irene meant Irene in tree by I Stephen mountain mountain I Stephen,"['NEUTRAL', 0.63238111]","['POSITIVE', 0.30000001192092896]",True,11,5,22:33:31.235915
James meant James outside Stephen,"['NEUTRAL', 0.38738245]","['NEUTRAL', 0.0]",False,12,5,22:33:37.295199
my cat cat Stephen Stephen an ship outside Stephen caught an ship in Irene,"['NEUTRAL', 0.38962919]","['NEUTRAL', 0.0]",False,13,5,22:33:42.344153
an in I fought my telescope,"['NEUTRAL', 0.49905797]","['NEUTRAL', 0.10000000149011612]",False,14,5,22:33:48.470124
James began a country Stephen James,"['NEUTRAL', 0.41401747]","['NEUTRAL', 0.0]",False,15,5,22:33:53.455563
Stephen Irene telescope with Irene cat my monkey country in I mountain,"['NEUTRAL', 0.61683845]","['POSITIVE', 0.30000001192092896]",True,16,6,22:33:58.505213
I began my on Irene,"['NEUTRAL', 0.43344733]","['NEUTRAL', 0.10000000149011612]",False,17,6,22:34:03.556012
tree country fought my ship,"['NEUTRAL', 0.65467325]","['NEUTRAL', 0.0]",False,18,6,22:34:08.605216
Stephen heard Irene on I,"['NEUTRAL', 0.54540494]","['NEUTRAL', 0.10000000149011612]",False,19,6,22:34:15.675678
Irene built my outside Stephen with the telescope by a mountain James I in a country outside I outside Irene,"['NEUTRAL', 0.44535404]","['NEUTRAL', 0.20000000298023224]",False,20,6,22:34:21.735086
Irene built I,"['NEUTRAL', 0.59014138]","['NEUTRAL', 0.20000000298023224]",False,21,6,22:34:26.784712
James James Irene,"['NEUTRAL', 0.37273496]","['NEUTRAL', 0.0]",False,22,6,22:34:31.835638
an country meant Stephen,"['NEUTRAL', 0.63790391]","['NEUTRAL', 0.0]",False,23,6,22:34:37.929421
James built Irene on an man in I,"['NEUTRAL', 0.46545459]","['NEUTRAL', 0.20000000298023224]",False,24,6,22:34:43.971917
tree outside Stephen man my ship I caught I by James,"['NEGATIVE', 0.40516455]","['NEUTRAL', 0.0]",True,25,7,22:34:50.114229
pajamas country man telescope in the pajamas in I the by an country in I my country I by James Stephen I in James,"['NEUTRAL', 0.44222324]","['NEUTRAL', 0.10000000149011612]",False,26,7,22:34:56.197276
James fought an telescope in I with Irene outside telescope with pajamas monkey ship,"['NEUTRAL', 0.36650281]","['NEUTRAL', 0.20000000298023224]",False,27,7,22:35:01.129713
I James an cat Irene a tree on Irene,"['NEUTRAL', 0.45433222]","['POSITIVE', 0.30000001192092896]",True,28,8,22:35:07.215440
I meant my monkey by James,"['POSITIVE', 0.34965204]","['NEUTRAL', 0.20000000298023224]",True,29,9,22:35:13.244066
James built James with Irene,"['NEUTRAL', 0.4337278]","['NEUTRAL', 0.10000000149011612]",False,30,9,22:35:18.306067
mountain outside my telescope on an outside the man by an ship with James ship caught pajamas by Irene tree,"['NEGATIVE', 0.41049134]","['NEUTRAL', 0.0]",True,31,10,22:35:23.344085
Stephen meant Irene,"['NEUTRAL', 0.57097536]","['NEUTRAL', 0.10000000149011612]",False,32,10,22:35:29.405073
my pajamas by I caught Stephen,"['NEGATIVE', 0.36722662]","['NEUTRAL', 0.20000000298023224]",True,33,11,22:35:35.464691
James meant Stephen by Stephen,"['NEUTRAL', 0.41289207]","['NEUTRAL', 0.0]",False,34,11,22:35:40.517899
an outside Irene on James meant my cat on I,"['NEGATIVE', 0.35265244]","['NEUTRAL', 0.10000000149011612]",True,35,12,22:35:47.692538
James built Stephen,"['NEUTRAL', 0.4628452]","['NEUTRAL', 0.10000000149011612]",False,36,12,22:35:55.665151
an cat I mountain with I by I heard my pajamas I an man on an telescope,"['NEUTRAL', 0.58684814]","['NEUTRAL', 0.20000000298023224]",False,37,12,22:36:01.725040
Stephen began ship with James on in the tree man outside James Stephen Irene I cat monkey tree on Irene my ship in Stephen on Stephen,"['NEUTRAL', 0.44629421]","['NEUTRAL', 0.10000000149011612]",False,38,12,22:36:08.794623
I built I outside country cat outside I,"['NEUTRAL', 0.65567915]","['NEUTRAL', 0.10000000149011612]",False,39,12,22:36:13.845552
I fought I with an mountain with James,"['NEUTRAL', 0.3708164]","['NEUTRAL', 0.10000000149011612]",False,40,12,22:36:19.918540
the man on country telescope Stephen I by Stephen by Irene by I,"['NEUTRAL', 0.66164617]","['NEUTRAL', 0.20000000298023224]",False,41,12,22:36:26.984248
Irene fought my on Irene by the man with Stephen,"['NEUTRAL', 0.54187692]","['NEUTRAL', 0.20000000298023224]",False,42,12,22:36:33.034776
an telescope fought Irene,"['NEUTRAL', 0.55097149]","['NEUTRAL', 0.10000000149011612]",False,43,12,22:36:40.194583
I began James an with with monkey man in the mountain on James telescope with Stephen Stephen,"['NEUTRAL', 0.42820579]","['NEUTRAL', 0.0]",False,44,12,22:36:45.164570
Stephen built Irene on the country in Irene,"['NEUTRAL', 0.66900779]","['NEUTRAL', 0.20000000298023224]",False,45,12,22:36:50.204991
I caught my country outside James,"['NEGATIVE', 0.47241923]","['NEUTRAL', 0.0]",True,46,13,22:36:56.377009
Stephen built Stephen I Stephen Stephen Irene,"['NEUTRAL', 0.60635621]","['NEUTRAL', 0.20000000298023224]",False,47,13,22:37:01.314608
Stephen built James on a telescope,"['NEUTRAL', 0.48309383]","['NEUTRAL', 0.20000000298023224]",False,48,13,22:37:06.364875
