Mary walked John with an pajamas outside an elephant in I,"[['RELIGION AND SPIRITUALITY', 0.05426748], ['SPORTS', 0.05330156], ['ARTS AND ENTERTAINMENT', 0.05121109], ['HEALTH AND FITNESS', 0.05051311], ['EDUCATION', 0.04999553]]","[['SOCIETY', 0.999853], ['SCIENCE', 5.59328e-05], ['HEALTH AND FITNESS', 1.64596e-05], ['FOOD AND DRINK', 1.57056e-05], ['SPORTS', 1.0377e-05]]",True,1,1,13:05:00.500479
Mary walked John with an pajamas outside an park in I,"[['SPORTS', 0.05648839], ['TRAVEL', 0.05458795], ['RELIGION AND SPIRITUALITY', 0.05344998], ['ARTS AND ENTERTAINMENT', 0.05171428], ['HEALTH AND FITNESS', 0.05135447]]","[['SOCIETY', 0.999443], ['SCIENCE', 0.000522575], ['SPORTS', 7.45316e-06], ['TRAVEL', 5.17278e-06], ['FOOD AND DRINK', 3.51823e-06]]",True,2,2,13:05:05.677576
Mary walked John with an pajamas outside an park by I,"[['SPORTS', 0.05648839], ['TRAVEL', 0.05458795], ['RELIGION AND SPIRITUALITY', 0.05344998], ['ARTS AND ENTERTAINMENT', 0.05171428], ['HEALTH AND FITNESS', 0.05135447]]","[['SOCIETY', 0.99916], ['SCIENCE', 0.000826406], ['FOOD AND DRINK', 2.85173e-06], ['TRAVEL', 2.55229e-06], ['SPORTS', 1.26695e-06]]",True,3,3,13:05:10.611144
Mary wounded John with an pajamas outside an park by I,"[['SPORTS', 0.05734981], ['TRAVEL', 0.05314263], ['RELIGION AND SPIRITUALITY', 0.05300186], ['HEALTH AND FITNESS', 0.05226831], ['ARTS AND ENTERTAINMENT', 0.05102527]]","[['SOCIETY', 0.998932], ['SCIENCE', 0.00100367], ['CAREERS', 1.28928e-05], ['TRAVEL', 1.00723e-05], ['SPORTS', 4.59309e-06]]",True,4,4,13:05:15.354875
Mary saw John with an pajamas outside an park by I,"[['SPORTS', 0.05687031], ['HEALTH AND FITNESS', 0.05400345], ['TRAVEL', 0.05281538], ['EDUCATION', 0.05241667], ['ARTS AND ENTERTAINMENT', 0.05114067]]","[['SOCIETY', 0.998607], ['SCIENCE', 0.0013781], ['TRAVEL', 3.53315e-06], ['FOOD AND DRINK', 3.4813e-06], ['SPORTS', 1.68841e-06]]",True,5,5,13:05:19.824745
Mary saw John with an pajamas outside an park by Bob,"[['SPORTS', 0.05833071], ['HEALTH AND FITNESS', 0.05594396], ['BUSINESS', 0.05355405], ['EDUCATION', 0.05269047], ['ARTS AND ENTERTAINMENT', 0.05245419]]","[['SOCIETY', 0.999149], ['SCIENCE', 0.000798828], ['SPORTS', 1.70879e-05], ['HOBBIES AND INTERESTS', 8.4673e-06], ['TRAVEL', 7.99314e-06]]",True,6,6,13:05:24.821598
Mary saw John with an pajamas outside an park on Bob,"[['SPORTS', 0.05833071], ['HEALTH AND FITNESS', 0.05594396], ['BUSINESS', 0.05355405], ['EDUCATION', 0.05269047], ['ARTS AND ENTERTAINMENT', 0.05245419]]","[['SPORTS', 0.859342], ['SOCIETY', 0.140556], ['SCIENCE', 9.83191e-05], ['TRAVEL', 9.59297e-07], ['FOOD AND DRINK', 4.256e-07]]",True,7,7,13:05:29.526885
Mary saw John with the pajamas outside an park on Bob,"[['SPORTS', 0.05833071], ['HEALTH AND FITNESS', 0.05594396], ['BUSINESS', 0.05355405], ['EDUCATION', 0.05269047], ['ARTS AND ENTERTAINMENT', 0.05245419]]","[['SPORTS', 0.821656], ['SOCIETY', 0.155521], ['SCIENCE', 0.0227188], ['FOOD AND DRINK', 0.000102129], ['TRAVEL', 3.88261e-07]]",True,8,8,13:05:34.878154
Mary saw John outside the pajamas outside an park on Bob,"[['SPORTS', 0.05833071], ['HEALTH AND FITNESS', 0.05594396], ['BUSINESS', 0.05355405], ['EDUCATION', 0.05269047], ['ARTS AND ENTERTAINMENT', 0.05245419]]","[['SPORTS', 0.971048], ['SCIENCE', 0.0287815], ['FOOD AND DRINK', 0.000161717], ['TRAVEL', 2.3898e-06], ['CAREERS', 6.71229e-07]]",True,9,9,13:05:39.273433
Mary wounded John outside the pajamas outside an park on Bob,"[['SPORTS', 0.05881537], ['HEALTH AND FITNESS', 0.05413989], ['BUSINESS', 0.05266417], ['ARTS AND ENTERTAINMENT', 0.05232946], ['TRAVEL', 0.05185024]]","[['SPORTS', 0.959474], ['SCIENCE', 0.0401185], ['FOOD AND DRINK', 0.000338951], ['CAREERS', 1.88035e-05], ['PETS', 5.6052e-06]]",True,10,10,13:05:44.098461
