Bob saw John on my man outside I,"[['SPORTS', 1.0], ['RELIGION AND SPIRITUALITY', 5.03422e-09], ['HEALTH AND FITNESS', 8.29732e-10], ['SOCIETY', 3.47067e-10], ['NON STANDARD CONTENT', 3.23454e-10]]","[['PROFANE CONTENT', 0.21], ['NON-STANDARD CONTENT', 0.1]]",True,1,1,17:14:55.074285
an fish ate I,"[['SPORTS', 0.473035], ['FOOD AND DRINK', 0.24243], ['HEALTH AND FITNESS', 0.00843713], ['PETS', 0.00470011], ['BUSINESS', 0.00463924]]","[['AQUARIUMS', 0.76], ['PETS', 0.29]]",False,2,1,17:14:56.915755
John wounded my elephant outside Bob by a monkey outside Mary,"[['FAMILY AND PARENTING', 0.999994], ['SPORTS', 3.063e-06], ['NON STANDARD CONTENT', 5.38691e-07], ['ARTS AND ENTERTAINMENT', 3.6925e-07], ['HOBBIES AND INTERESTS', 3.3763e-07]]","[['HOBBIES & INTERESTS', 0.08], ['NEEDLEWORK', 0.05]]",True,3,2,17:14:58.932800
I walked I,"[['SPORTS', 0.792541], ['RELIGION AND SPIRITUALITY', 0.0380965], ['HOBBIES AND INTERESTS', 0.0098011], ['TECHNOLOGY AND COMPUTING', 0.000885797], ['LAW AND GOVERNMENT AND POLITICS', 0.000477157]]","[['GARDENING', 0.19], ['OFF-ROAD VEHICLES', 0.09], ['HOBBIES & INTERESTS', 0.07], ['AUTOMOTIVE', 0.06], ['HOME & GARDEN', 0.06]]",True,4,3,17:15:00.956153
Bob ate my pajamas on an dog on an dog by Bob by John,"[['PETS', 0.999988], ['NON STANDARD CONTENT', 9.13691e-06], ['SPORTS', 9.94045e-07], ['SCIENCE', 1.1415e-07], ['HOBBIES AND INTERESTS', 6.84951e-08]]","[['DOGS', 0.6], ['PETS', 0.39]]",False,5,3,17:15:02.710272
John wounded Mary in an fish outside I outside Bob,"[['SPORTS', 0.977403], ['CAREERS', 0.00474064], ['HOBBIES AND INTERESTS', 0.000740748], ['TRAVEL', 0.000302086], ['PETS', 0.000300211]]","[['AQUARIUMS', 0.55], ['PETS', 0.17]]",False,6,3,17:15:04.649935
I saw my park with I,"[['HOBBIES AND INTERESTS', 0.999927], ['SOCIETY', 5.43364e-05], ['SPORTS', 1.52135e-06], ['TRAVEL', 1.22429e-07], ['RELIGION AND SPIRITUALITY', 9.3334e-08]]","[['NATIONAL PARKS', 0.6], ['TRAVEL', 0.18]]",False,7,3,17:15:06.727063
Mary shot John on John,"[['ARTS AND ENTERTAINMENT', 0.999789], ['HEALTH AND FITNESS', 0.000208961], ['TRAVEL', 1.93685e-06], ['SPORTS', 8.26561e-10], ['REAL ESTATE', 2.26785e-10]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.08], ['SCREENWRITING', 0.06]]",True,8,4,17:15:08.588479
John killed I by an elephant outside John on Bob,"[['STYLE AND FASHION', 0.954485], ['SPORTS', 0.0454919], ['HEALTH AND FITNESS', 1.6144e-06], ['RELIGION AND SPIRITUALITY', 3.01226e-07], ['FOOD AND DRINK', 1.0384e-07]]","[['LARGE ANIMALS', 0.43], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['CATHOLICISM', 0.17], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.07]]",True,9,5,17:15:10.467259
Mary saw a pajamas by Mary outside the monkey,"[['SCIENCE', 0.98331], ['FOOD AND DRINK', 0.00377501], ['STYLE AND FASHION', 0.00138204], ['HOBBIES AND INTERESTS', 0.00109616], ['HEALTH AND FITNESS', 0.00102068]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.21], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.05]]",True,10,6,17:15:12.239373
