Irene meant Irene,"[['ARTS AND ENTERTAINMENT', 0.05087865], ['HOME AND GARDEN', 0.04972], ['EDUCATION', 0.04941497], ['SOCIETY', 0.04935718], ['PETS', 0.04861877]]","[['HEALTH AND FITNESS', 0.637281], ['PERSONAL FINANCE', 0.103074], ['SOCIETY', 0.0506194], ['RELIGION AND SPIRITUALITY', 0.0496257], ['SPORTS', 0.0171144]]",True,1,1,19:52:37.819677
James Irene I James James the mountain man by James ship,"[['SPORTS', 0.06029015], ['HOBBIES AND INTERESTS', 0.05580804], ['RELIGION AND SPIRITUALITY', 0.05459059], ['TRAVEL', 0.05341615], ['SCIENCE', 0.05098573]]","[['EDUCATION', 0.996261], ['RELIGION AND SPIRITUALITY', 0.00171276], ['TRAVEL', 0.00077532], ['SCIENCE', 9.34268e-05], ['HOBBIES AND INTERESTS', 9.08584e-05]]",False,2,1,19:52:41.202421
in Stephen cat in I I James,"[['PETS', 0.06220645], ['HOBBIES AND INTERESTS', 0.0531032], ['RELIGION AND SPIRITUALITY', 0.05011121], ['SCIENCE', 0.04933998], ['HOME AND GARDEN', 0.04920725]]","[['PETS', 0.999999], ['NON STANDARD CONTENT', 8.95285e-07], ['ARTS AND ENTERTAINMENT', 6.21619e-09], ['SPORTS', 4.12173e-09], ['TECHNOLOGY AND COMPUTING', 8.80616e-10]]",True,3,2,19:52:43.969446
I heard Irene with the pajamas in James,"[['SCIENCE', 0.05185486], ['RELIGION AND SPIRITUALITY', 0.05113169], ['SPORTS', 0.05099651], ['HOBBIES AND INTERESTS', 0.0509346], ['HEALTH AND FITNESS', 0.05089478]]","[['SCIENCE', 0.968688], ['FOOD AND DRINK', 0.0312739], ['SPORTS', 1.02676e-05], ['RELIGION AND SPIRITUALITY', 6.72314e-06], ['CAREERS', 3.78474e-06]]",False,4,2,19:52:47.009950
James fought my pajamas by I,"[['RELIGION AND SPIRITUALITY', 0.05425257], ['HOBBIES AND INTERESTS', 0.05308609], ['AUTOMOTIVE', 0.05186677], ['HOME AND GARDEN', 0.05060393], ['HEALTH AND FITNESS', 0.04870174]]","[['SCIENCE', 0.666745], ['SPORTS', 0.197571], ['STYLE AND FASHION', 0.00361697], ['HOBBIES AND INTERESTS', 0.00210483], ['FOOD AND DRINK', 0.000555302]]",True,5,3,19:52:49.761016
Irene my country with telescope with Stephen ship in Irene Stephen outside cat pajamas,"[['PETS', 0.06336118], ['TRAVEL', 0.06135146], ['EDUCATION', 0.05332582], ['HEALTH AND FITNESS', 0.0523592], ['AUTOMOTIVE', 0.0499894]]","[['SCIENCE', 0.534922], ['TRAVEL', 0.250707], ['PETS', 0.1768], ['HOBBIES AND INTERESTS', 0.016047], ['TECHNOLOGY AND COMPUTING', 0.000896759]]",True,6,4,19:52:52.525314
cat with monkey in Stephen man mountain heard Irene on Irene,"[['SPORTS', 0.06065386], ['PETS', 0.05873547], ['HEALTH AND FITNESS', 0.0527196], ['SCIENCE', 0.05202302], ['EDUCATION', 0.04992384]]","[['PETS', 0.999997], ['NON STANDARD CONTENT', 2.25738e-06], ['SPORTS', 3.09087e-07], ['HOBBIES AND INTERESTS', 2.29317e-07], ['SCIENCE', 1.78878e-07]]",False,7,4,19:52:55.291227
Irene built Stephen with my outside James outside Irene,"[['RELIGION AND SPIRITUALITY', 0.05715902], ['TRAVEL', 0.05395811], ['AUTOMOTIVE', 0.05286512], ['HEALTH AND FITNESS', 0.05176899], ['FAMILY AND PARENTING', 0.04962549]]","[['SPORTS', 0.999598], ['ARTS AND ENTERTAINMENT', 0.000197841], ['RELIGION AND SPIRITUALITY', 4.0446e-05], ['TRAVEL', 2.34291e-05], ['HEALTH AND FITNESS', 2.32082e-05]]",False,8,4,19:52:58.056201
Irene began Irene I James,"[['HOME AND GARDEN', 0.05231742], ['HOBBIES AND INTERESTS', 0.05181638], ['FOOD AND DRINK', 0.05174505], ['RELIGION AND SPIRITUALITY', 0.05144185], ['ARTS AND ENTERTAINMENT', 0.04975575]]","[['HEALTH AND FITNESS', 0.708242], ['RELIGION AND SPIRITUALITY', 0.0748404], ['PERSONAL FINANCE', 0.0342363], ['SOCIETY', 0.024171], ['CAREERS', 0.0231075]]",True,9,5,19:53:00.771429
James heard Irene with I,"[['RELIGION AND SPIRITUALITY', 0.05231148], ['HOBBIES AND INTERESTS', 0.05189358], ['SCIENCE', 0.05169399], ['ARTS AND ENTERTAINMENT', 0.04956204], ['CAREERS', 0.04871407]]","[['HOBBIES AND INTERESTS', 1.0], ['RELIGION AND SPIRITUALITY', 4.12441e-08], ['HEALTH AND FITNESS', 2.75308e-09], ['PERSONAL FINANCE', 2.6077e-09], ['SPORTS', 1.7339e-09]]",True,10,6,19:53:03.589916
