an telescope killed Bob outside I in Bob in Bob,"[['SCIENCE', 0.642092], ['HOBBIES AND INTERESTS', 0.133919], ['LAW AND GOVERNMENT AND POLITICS', 0.0798497], ['SPORTS', 0.0270696], ['NON STANDARD CONTENT', 0.00488137]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,1,1,14:28:30.193737
John saw Mary outside Bob with Mary,"[['SOCIETY', 0.128884], ['HOBBIES AND INTERESTS', 0.105415], ['ARTS AND ENTERTAINMENT', 0.0876229], ['TRAVEL', 0.0730341], ['REAL ESTATE', 0.0716421]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['NON-STANDARD CONTENT', 0.06], ['SPORTS', 0.06]]",True,2,2,14:28:32.097233
my cat on an park on Mary walked Bob,"[['PETS', 1.0], ['EDUCATION', 2.76468e-13], ['SPORTS', 1.62716e-16], ['HEALTH AND FITNESS', 1.96656e-17], ['HOBBIES AND INTERESTS', 1.77597e-18]]","[['CATS', 0.56], ['PETS', 0.16]]",False,3,2,14:28:33.855493
I wounded Bob,"[['SPORTS', 0.285373], ['ARTS AND ENTERTAINMENT', 0.0485375], ['HEALTH AND FITNESS', 0.0366016], ['HOBBIES AND INTERESTS', 0.0320092], ['PETS', 0.0237797]]","[['HOBBIES & INTERESTS', 0.09], ['BIRDWATCHING', 0.05]]",True,4,3,14:28:36.366255
I ate Mary outside I,"[['SOCIETY', 0.115497], ['RELIGION AND SPIRITUALITY', 0.0819662], ['FOOD AND DRINK', 0.0620299], ['STYLE AND FASHION', 0.0392408], ['SPORTS', 0.0388744]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['BARBECUES & GRILLING', 0.09], ['HOBBIES & INTERESTS', 0.07], ['FOOD & DRINK', 0.07], ['NEEDLEWORK', 0.06]]",True,5,4,14:28:37.964622
I killed John,"[['RELIGION AND SPIRITUALITY', 1.0], ['SPORTS', 3.46453e-17], ['CAREERS', 3.25534e-17], ['TRAVEL', 1.61212e-17], ['HOBBIES AND INTERESTS', 1.50134e-17]]","[['ISLAM', 0.21], ['RELIGION & SPIRITUALITY', 0.1]]",True,6,5,14:28:39.627761
my fish in John shot the pajamas outside Bob in John,"[['SOCIETY', 0.765941], ['SCIENCE', 0.187563], ['FOOD AND DRINK', 0.0416683], ['SPORTS', 0.00341092], ['NON STANDARD CONTENT', 1.42347e-05]]","[['AQUARIUMS', 0.48], ['PETS', 0.15]]",True,7,6,14:28:41.276476
John walked Bob outside John,"[['SPORTS', 0.981253], ['HEALTH AND FITNESS', 0.00107303], ['TRAVEL', 0.000597585], ['RELIGION AND SPIRITUALITY', 0.000468808], ['HOBBIES AND INTERESTS', 1.50939e-05]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.18], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['SPORTS', 0.07], ['SCREENWRITING', 0.06]]",True,8,7,14:28:43.156768
Mary walked John,"[['RELIGION AND SPIRITUALITY', 0.29628], ['SPORTS', 0.249347], ['TRAVEL', 0.0960531], ['HOBBIES AND INTERESTS', 0.0494921], ['SCIENCE', 0.0402332]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.06], ['NEEDLEWORK', 0.06]]",True,9,8,14:28:44.782066
a monkey in the pajamas wounded the dog,"[['PETS', 0.996372], ['SCIENCE', 0.00308245], ['FOOD AND DRINK', 0.000529315], ['SPORTS', 9.57721e-06], ['HOBBIES AND INTERESTS', 8.4608e-07]]","[['DOGS', 0.49], ['PETS', 0.24]]",False,10,8,14:28:46.704645
I wounded Mary,"[['CAREERS', 0.439353], ['TRAVEL', 0.195458], ['PETS', 0.0960963], ['SPORTS', 0.0559104], ['NON STANDARD CONTENT', 0.0400773]]","[['OFF-ROAD VEHICLES', 0.1], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['AUTOMOTIVE', 0.06]]",True,11,9,14:28:48.335280
Mary walked a man in I,"[['SCIENCE', 0.710036], ['SPORTS', 0.151564], ['HOBBIES AND INTERESTS', 0.0320505], ['TRAVEL', 0.0179049], ['STYLE AND FASHION', 0.0171362]]","[['PROFANE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.09]]",True,12,10,14:28:49.954552
Mary killed Bob on the telescope outside I,"[['SCIENCE', 0.957729], ['HOBBIES AND INTERESTS', 0.0226285], ['SPORTS', 0.00446606], ['ARTS AND ENTERTAINMENT', 0.000522354], ['NON STANDARD CONTENT', 0.000475378]]","[['CATHOLICISM', 0.15], ['ROAD-SIDE ASSISTANCE', 0.1], ['HOBBIES & INTERESTS', 0.07], ['AUTOMOTIVE', 0.06], ['RELIGION & SPIRITUALITY', 0.06]]",True,13,11,14:28:51.566268
John killed I,"[['STYLE AND FASHION', 1.0], ['RELIGION AND SPIRITUALITY', 7.18118e-16], ['SPORTS', 6.12551e-16], ['CAREERS', 4.90476e-16], ['TRAVEL', 2.22103e-16]]","[['ISLAM', 0.21], ['RELIGION & SPIRITUALITY', 0.1]]",True,14,12,14:28:53.141028
a telescope shot John,"[['ARTS AND ENTERTAINMENT', 0.999855], ['SCIENCE', 0.00014504], ['HOBBIES AND INTERESTS', 1.37705e-07], ['TECHNOLOGY AND COMPUTING', 9.40827e-10], ['SPORTS', 3.69453e-10]]","[['HOBBIES & INTERESTS', 0.09], ['SCREENWRITING', 0.05]]",True,15,13,14:28:54.732415
Bob ate Bob outside an man on Mary,"[['EDUCATION', 0.999999], ['RELIGION AND SPIRITUALITY', 2.27651e-07], ['FOOD AND DRINK', 1.29012e-07], ['TRAVEL', 6.21505e-08], ['SPORTS', 5.5102e-08]]","[['PROFANE CONTENT', 0.2], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.07], ['SPORTS', 0.07], ['NEEDLEWORK', 0.06]]",True,16,14,14:28:56.315628
Mary ate I by Mary with an man,"[['SOCIETY', 0.393777], ['FOOD AND DRINK', 0.104408], ['SPORTS', 0.0879819], ['HEALTH AND FITNESS', 0.0223704], ['HOBBIES AND INTERESTS', 0.0195948]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.08], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06]]",True,17,15,14:28:58.146745
my cat on John killed a man outside a man on John with John,"[['PETS', 0.999998], ['SOCIETY', 1.33624e-06], ['STYLE AND FASHION', 9.07145e-07], ['TRAVEL', 8.81944e-09], ['RELIGION AND SPIRITUALITY', 1.63404e-11]]","[['CATS', 0.43], ['HATE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.12], ['PETS', 0.1]]",True,18,16,14:28:59.743044
John killed I in John,"[['STYLE AND FASHION', 1.0], ['RELIGION AND SPIRITUALITY', 4.52189e-10], ['SPORTS', 2.83502e-11], ['TRAVEL', 2.30672e-11], ['HOBBIES AND INTERESTS', 1.78983e-11]]","[['HATE CONTENT', 0.2], ['CATHOLICISM', 0.19], ['NON-STANDARD CONTENT', 0.08], ['RELIGION & SPIRITUALITY', 0.08]]",True,19,17,14:29:01.398937
an park by I killed Bob,"[['TRAVEL', 0.796421], ['HOBBIES AND INTERESTS', 0.0480496], ['SPORTS', 0.00719858], ['RELIGION AND SPIRITUALITY', 0.00241634], ['SCIENCE', 0.00136175]]","[['NATIONAL PARKS', 0.49], ['TRAVEL', 0.09]]",False,20,17,14:29:03.096269
a man on John wounded my pajamas outside Bob,"[['TRAVEL', 0.887347], ['SCIENCE', 0.0908154], ['SPORTS', 0.0134558], ['ARTS AND ENTERTAINMENT', 0.000362896], ['RELIGION AND SPIRITUALITY', 0.000182152]]","[['PROFANE CONTENT', 0.2], ['NON-STANDARD CONTENT', 0.08], ['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.06], ['SCREENWRITING', 0.05]]",True,21,18,14:29:04.954914
I ate I on I with a monkey outside an fish in I with John,"[['FAMILY AND PARENTING', 0.982989], ['PETS', 0.00518474], ['RELIGION AND SPIRITUALITY', 0.00326675], ['HEALTH AND FITNESS', 0.00232111], ['SCIENCE', 0.000996447]]","[['AQUARIUMS', 0.61], ['PETS', 0.17]]",False,22,18,14:29:06.752069
John walked Bob in Bob by Bob,"[['SPORTS', 0.841398], ['HEALTH AND FITNESS', 0.0188942], ['HOBBIES AND INTERESTS', 0.0101553], ['LAW AND GOVERNMENT AND POLITICS', 0.00517285], ['TRAVEL', 0.00306685]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.07], ['SCREENWRITING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,23,19,14:29:08.539989
I walked Mary by John outside Mary with I in Mary,"[['HOBBIES AND INTERESTS', 0.745856], ['RELIGION AND SPIRITUALITY', 0.0128801], ['SPORTS', 0.00338447], ['CAREERS', 0.0016806], ['TRAVEL', 0.00130314]]","[['GARDENING', 0.23], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['TRAVELING WITH KIDS', 0.06]]",True,24,20,14:29:10.438534
John killed Mary by the telescope on Mary,"[['STYLE AND FASHION', 0.972315], ['EDUCATION', 0.0276852], ['SCIENCE', 1.69873e-07], ['HOBBIES AND INTERESTS', 7.08858e-09], ['RELIGION AND SPIRITUALITY', 7.85062e-10]]","[['CATHOLICISM', 0.23], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['RELIGION & SPIRITUALITY', 0.07], ['NEEDLEWORK', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,25,21,14:29:12.323994
I saw a monkey on Mary,"[['FAMILY AND PARENTING', 0.957471], ['EDUCATION', 0.0425288], ['STYLE AND FASHION', 4.70615e-08], ['HOBBIES AND INTERESTS', 1.73494e-08], ['SCIENCE', 4.59661e-09]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,26,22,14:29:14.097852
an cat wounded John in Bob,"[['PETS', 0.999993], ['SPORTS', 3.60486e-06], ['ARTS AND ENTERTAINMENT', 8.3625e-07], ['HOBBIES AND INTERESTS', 5.04422e-07], ['TECHNOLOGY AND COMPUTING', 1.65582e-07]]","[['CATS', 0.58], ['PETS', 0.15]]",False,27,22,14:29:16.000374
I saw Mary on my park,"[['SPORTS', 1.0], ['SOCIETY', 6.22197e-09], ['HEALTH AND FITNESS', 4.11122e-09], ['HOBBIES AND INTERESTS', 7.99381e-10], ['RELIGION AND SPIRITUALITY', 5.55623e-10]]","[['NATIONAL PARKS', 0.58], ['TRAVEL', 0.13]]",True,28,23,14:29:17.568334
a elephant by Mary walked I,"[['SPORTS', 0.843691], ['HOBBIES AND INTERESTS', 0.0416274], ['STYLE AND FASHION', 0.00996609], ['HEALTH AND FITNESS', 0.00815929], ['RELIGION AND SPIRITUALITY', 0.00778265]]","[['LARGE ANIMALS', 0.43], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06], ['PETS', 0.06]]",True,29,24,14:29:19.388345
the park with my pajamas by I saw the pajamas on Mary,"[['SCIENCE', 0.999915], ['FOOD AND DRINK', 7.30104e-05], ['EDUCATION', 1.10728e-05], ['SPORTS', 5.11078e-07], ['TRAVEL', 3.22151e-08]]","[['NATIONAL PARKS', 0.18], ['TRAVEL', 0.07], ['HOBBIES & INTERESTS', 0.06], ['BIRDWATCHING', 0.06]]",True,30,25,14:29:21.331524
John walked the monkey with my park,"[['SPORTS', 0.653041], ['HOBBIES AND INTERESTS', 0.10648], ['TRAVEL', 0.0254526], ['SCIENCE', 0.0192404], ['LAW AND GOVERNMENT AND POLITICS', 0.0141]]","[['NATIONAL PARKS', 0.38], ['TRAVEL', 0.08], ['BIRDWATCHING', 0.06], ['HOBBIES & INTERESTS', 0.06]]",True,31,26,14:29:23.314658
Mary saw John,"[['RELIGION AND SPIRITUALITY', 0.104088], ['TRAVEL', 0.100193], ['CAREERS', 0.0741229], ['HOBBIES AND INTERESTS', 0.0549795], ['EDUCATION', 0.0275903]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,32,27,14:29:24.855328
Mary walked I,"[['RELIGION AND SPIRITUALITY', 0.372352], ['SPORTS', 0.304225], ['HOBBIES AND INTERESTS', 0.0470464], ['SCIENCE', 0.000492242], ['TRAVEL', 0.000210025]]","[['BODY ART', 0.39], ['GARDENING', 0.22], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.2], ['OFF-ROAD VEHICLES', 0.1], ['HOBBIES & INTERESTS', 0.06]]",True,33,28,14:29:26.648439
Mary killed John,"[['RELIGION AND SPIRITUALITY', 1.0], ['TRAVEL', 2.23711e-16], ['CAREERS', 1.17466e-16], ['REAL ESTATE', 9.23545e-17], ['SPORTS', 8.89909e-17]]","[['CATHOLICISM', 0.26], ['RELIGION & SPIRITUALITY', 0.09]]",True,34,29,14:29:28.219794
an fish walked Mary outside the elephant on Mary,"[['SPORTS', 0.996776], ['EDUCATION', 0.00322393], ['PETS', 5.16074e-09], ['HEALTH AND FITNESS', 3.7433e-09], ['HOBBIES AND INTERESTS', 2.99545e-09]]","[['AQUARIUMS', 0.47], ['PETS', 0.17]]",False,35,29,14:29:29.923734
Mary wounded an man with my telescope with John in Mary,"[['HOBBIES AND INTERESTS', 0.439969], ['SCIENCE', 0.073416], ['ARTS AND ENTERTAINMENT', 0.049927], ['SPORTS', 0.0140371], ['CAREERS', 0.00873878]]","[['PROFANE CONTENT', 0.19], ['NON-STANDARD CONTENT', 0.07], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,36,30,14:29:31.540610
my elephant wounded Mary,"[['SPORTS', 0.732671], ['ARTS AND ENTERTAINMENT', 0.168766], ['HOBBIES AND INTERESTS', 0.035137], ['CAREERS', 0.0124434], ['PETS', 0.0059694]]","[['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,37,31,14:29:33.164798
an pajamas walked Bob,"[['SPORTS', 0.975359], ['SCIENCE', 0.01423], ['HEALTH AND FITNESS', 0.00877339], ['FOOD AND DRINK', 0.00129107], ['TRAVEL', 2.10223e-06]]","[['HOBBIES & INTERESTS', 0.08], ['SPORTS', 0.06], ['BIRDWATCHING', 0.05], ['WATERSKI/WAKEBOARD', 0.04]]",True,38,32,14:29:34.760505
Mary killed a elephant,"[['SPORTS', 0.912183], ['HEALTH AND FITNESS', 0.0456521], ['FOOD AND DRINK', 0.00687674], ['RELIGION AND SPIRITUALITY', 0.00489383], ['TRAVEL', 0.00291265]]","[['LARGE ANIMALS', 0.51], ['PAGAN/WICCAN', 0.15], ['ROAD-SIDE ASSISTANCE', 0.11], ['PETS', 0.07], ['RELIGION & SPIRITUALITY', 0.07]]",True,39,33,14:29:36.517472
Mary saw Mary,"[['HOBBIES AND INTERESTS', 0.186716], ['CAREERS', 0.103546], ['RELIGION AND SPIRITUALITY', 0.0760557], ['TRAVEL', 0.0426075], ['STYLE AND FASHION', 0.0401628]]","[['BODY ART', 0.39], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.21], ['NEEDLEWORK', 0.07], ['HOBBIES & INTERESTS', 0.06], ['TRAVELING WITH KIDS', 0.06]]",True,40,34,14:29:38.355409
my park shot an monkey on a fish,"[['FAMILY AND PARENTING', 0.999978], ['SPORTS', 1.36467e-05], ['PETS', 5.39042e-06], ['SCIENCE', 2.51203e-07], ['TRAVEL', 1.86726e-07]]","[['AQUARIUMS', 0.61], ['PETS', 0.24]]",False,41,34,14:29:40.213590
John saw my cat,"[['PETS', 0.996919], ['HOBBIES AND INTERESTS', 0.00300776], ['SOCIETY', 7.11488e-05], ['ARTS AND ENTERTAINMENT', 2.00755e-07], ['NON STANDARD CONTENT', 1.16041e-07]]","[['CATS', 0.77], ['PETS', 0.28]]",False,42,34,14:29:41.816326
my pajamas on I walked my man with Mary with I outside I,"[['SPORTS', 0.989144], ['HOBBIES AND INTERESTS', 0.0107458], ['SCIENCE', 2.95499e-05], ['SOCIETY', 1.25588e-05], ['RELIGION AND SPIRITUALITY', 8.48849e-06]]","[['PROFANE CONTENT', 0.22], ['NON-STANDARD CONTENT', 0.08]]",True,43,35,14:29:43.502984
John shot John,"[['ARTS AND ENTERTAINMENT', 0.701169], ['SOCIETY', 0.298831], ['SPORTS', 2.39116e-11], ['HOBBIES AND INTERESTS', 5.21175e-12], ['TRAVEL', 2.57221e-12]]","[['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.18], ['HOBBIES & INTERESTS', 0.08], ['NON-STANDARD CONTENT', 0.08], ['SCREENWRITING', 0.06]]",True,44,36,14:29:45.410201
Bob shot my park outside an man in Mary in I with Mary with Mary,"[['TRAVEL', 0.996393], ['HOBBIES AND INTERESTS', 0.00170129], ['ARTS AND ENTERTAINMENT', 0.000248849], ['SOCIETY', 0.00013867], ['HEALTH AND FITNESS', 0.000123609]]","[['NATIONAL PARKS', 0.16], ['TRAVEL', 0.08], ['HOBBIES & INTERESTS', 0.07], ['NEEDLEWORK', 0.06]]",True,45,37,14:29:47.195497
I killed Mary,"[['HEALTH AND FITNESS', 0.794829], ['TRAVEL', 0.0551996], ['PETS', 0.0453545], ['ARTS AND ENTERTAINMENT', 0.0433769], ['BUSINESS', 0.0325973]]","[['CATHOLICISM', 0.19], ['RELIGION & SPIRITUALITY', 0.09]]",True,46,38,14:29:48.826443
an park outside Mary wounded I on John by John,"[['TRAVEL', 0.973656], ['SPORTS', 1.08911e-05], ['CAREERS', 2.42314e-06], ['ARTS AND ENTERTAINMENT', 9.8445e-07], ['HOBBIES AND INTERESTS', 8.20195e-07]]","[['NATIONAL PARKS', 0.33], ['EXTREME GRAPHIC/EXPLICIT VIOLENCE', 0.19], ['TRAVEL', 0.08], ['HOBBIES & INTERESTS', 0.07], ['NON-STANDARD CONTENT', 0.06]]",True,47,39,14:29:50.428685
